#OTUID	1759FJan_S24_L	1763CFeb_S27_L	1763FFeb_S25_L	2031CFeb_S42_L	2031FFeb_S40_L	2031P230_S89_L	2031PFeb_S41_L	2229FP230_S86_L	2231C230_S93_L	2231F230_S91_L	2231FFeb_S31_L	2231PJan_S22_L	29CJan_S3_L	29FFeb_S46_L	29FMar_S73_L	29PJan_S2_L	31CMar_S72_L	42CJan_S14_L	42CMar_S78_L	42F230_S82_L	42FJan_S13_L	42FMar_S76_L	42P230_S83_L	42PMar_S77_L	59CFeb_S45_L	59CMar_S63_L	59FFeb_S43_L	59FMar_S61_L	59P230_S95_L	60C230_S81_L	59PMar_S62_L	60CFeb_S36_L	60F230_S79_L	60FFeb_S34_L	60FJan_S4_L	60P230_S80_L	60PFeb_S35_L	61CJan_S17_L	61FFeb_S52_L	61FMar_S67_L	61PMar_S68_L	63FJan_S18_L	63FMar_S58_L	63PMar_S59_L	73CJan_S12_L	73FJan_S11_L	73FMar_S64_L	80CJan_S10_L	80CMar_S57_L	80FFeb_S49_L	Jul42C2_S36_L001_R1	Jul42P_S31_L001_R1	Jul59F_S12_L001_R1	Jul60F_S27_L001_R1	Jul60C2_S17_L001_R1	Jul61C3_S21_L001_R1	Jul61P2_S16_L001_R1	Jul63F_S11_L001_R1	Jul63C2_S6_L001_R1	Aug2031F_S50_L001_R1	Aug2031P2_S4_L001_R1	Aug2231P2_S19_L001_R1	Aug2231F_S9_L001_R1	Aug29C2_S29_L001_R1	Aug29F_S24_L001_R1	Aug29P2_S34_L001_R1	Aug42F_S39_L001_R1	Aug42P2_S47_L001_R1	Aug59C2_S18_L001_R1	Aug59P2_S23_L001_R1	Aug60C2_S51_L001_R1	Aug60F_S28_L001_R1	Aug60P2_S33_L001_R1	Aug61C2_S42_L001_R1	Aug61F_S38_L001_R1	Aug61P2_S46_L001_R1	Aug63C2_S55_L001_R1	Aug63F_S3_L001_R1	Aug63P2_S8_L001_R1	Sep61F_S35_L001_R1	Sept2031F_S10_L001_R1	Sep60F_S30_L001_R1	Sept29F_S5_L001_R1	Sept2231F_S15_L001_R1	Sept59F_S20_L001_R1	Sept63F_S25_L001_R1	taxonomy
Bacilluscereus;LZOD01000018.12666.14597	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	3	4	1	0	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	0	2	0	0	2	0	0	0	0	0	0	1	2	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacilluscereus
Staphylococcussp.IGCAR-7/07;EF517954.1.1705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcussp.IGCAR-7/07
Acinetobactersp.IGCAR-9/07;EF517956.1.1666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobactersp.IGCAR-9/07
RumenbacteriumNK4A55;GU324413.1.1630	0	0	2	2	1	1	1	4	7	2	9	1	6	1	1	5	5	53	1	1	3	3	1	6	0	1	0	0	1	0	0	0	0	1	1	0	0	5	0	1	0	1	2	0	18	2	2	7	6	2	9	8	1	0	0	0	0	0	1	2	5	80	2	45	6	13	1	2	0	1	0	10	3	8	1	0	2	1	0	1	0	2	2	4	0	1	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Anaerovibrio;s__RumenbacteriumNK4A55
Ambiguous_taxa;DD452404.1.1628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminiclostridium;s__Ambiguous_taxa
Bacillusdecisifrondis;LIYL01000010.256727.258364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus;s__Bacillusdecisifrondis
Listeriamonocytogenes;LKHO01000001.198.1803	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeriamonocytogenes
Microbacteriumsaperdae;KR088388.1.1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Microbacterium;s__Microbacteriumsaperdae
Tectonagrandis;GDLT01000297.39.1633	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__Tectonagrandis;g__Tectonagrandis;s__Tectonagrandis
Ambiguous_taxa;CATO01000049.63.1649	0	1606	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Salmonella;s__Ambiguous_taxa
Ambiguous_taxa;FP929051.297741.300852	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus2;s__Ambiguous_taxa
Ambiguous_taxa;AOQH01000004.3690.5263	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Escherichia-Shigella;s__Ambiguous_taxa
Unculturedbacterium;EU843933.1.1588	3	0	0	0	0	0	1	0	0	1	0	4	0	3	0	0	0	5	0	0	5	1	0	1	1	0	1	1	1	4	0	0	0	1	0	1	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	2	3	0	0	1	2	1	2	0	0	0	2	1	0	1	0	2	0	1	0	0	2	0	2	1	1	0	3	2	0	0	0	0	0	1	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Uncultured;s__Unculturedbacterium
Ambiguous_taxa;CP002444.1172141.1173717	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Aquificae;c__Desulfurobacteriia;o__Desulfurobacteriales;f__Desulfurobacteriaceae;g__Thermovibrio;s__Ambiguous_taxa
Unculturedbacterium;DQ887958.1.1569	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Heliobacteriaceae;g__Hydrogenispora;s__Unculturedbacterium
Aeromonassalmonicida;KR088380.1.1569	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae;g__Aeromonas;s__Aeromonassalmonicida
Ambiguous_taxa;LNAM01000152.36752.38349	87	84	117	28	36	49	53	61	0	42	62	10	0	28	40	12	48	2	58	43	67	53	31	84	12	35	48	49	51	1	63	16	33	33	70	32	27	31	16	48	44	29	64	59	15	90	93	1	37	30	69	30	191	262	10	17	127	241	89	103	98	66	65	1	46	60	171	47	62	167	49	66	74	21	97	64	53	90	215	178	106	94	201	142	125	178	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__[Acetivibrio]ethanolgignensgroup;s__Ambiguous_taxa
Ambiguous_taxa;JF825494.1.1570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__Ambiguous_taxa
Rhodococcusfascians;KR088385.1.1564	0	0	0	0	0	0	0	0	1	0	0	0	10	0	2	2	2	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	1	0	0	3	0	1	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Nocardiaceae;g__Rhodococcus;s__Rhodococcusfascians
Unculturedbacterium;LC124699.1.1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Cyanobacteria;c__Oxyphotobacteria;o__Chloroplast;f__Unculturedbacterium;g__Unculturedbacterium;s__Unculturedbacterium
Ambiguous_taxa;AY372052.1.1562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Veillonellaceae;g__Anaerospora;s__Ambiguous_taxa
Lactobacillusreuteri;LG042641.312212.313771	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillusreuteri
Ambiguous_taxa;AB559693.1.1568	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	2	1	0	0	0	0	0	0	0	8	0	0	0	0	0	7	0	0	0	0	0	0	12	6	0	0	0	0	6	11	0	0	0	1	1	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Ambiguous_taxa
Ambiguous_taxa;DQ294961.4.1561	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	2	0	3	0	0	0	4	0	2	1	1	0	0	0	0	1	2	155	35	17	5	5	3	272	71	6	0	0	1	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Weissella;s__Ambiguous_taxa
Unculturedbacterium;HQ697715.1.1558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__AB1;g__Unculturedbacterium;s__Unculturedbacterium
Unculturedbacterium;AB507519.1.1564	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__FamilyXIII;g__[Eubacterium]nodatumgroup;s__Unculturedbacterium
Ambiguous_taxa;FPLO01002422.8.1563	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Peptococcaceae;g__Uncultured;s__Ambiguous_taxa
Ambiguous_taxa;KC443108.1.1565	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Ambiguous_taxa
Unculturedrumenbacterium;DQ394597.1.1566	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__RuminococcaceaeUCG-014;s__Unculturedrumenbacterium
Ambiguous_taxa;JQ775300.1.1566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Brevibacillus;s__Ambiguous_taxa
Ambiguous_taxa;AATF01000800.63.1615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Ambiguous_taxa
Ambiguous_taxa;AY255802.1.1568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Ambiguous_taxa
Unculturedrumenbacterium;EU382038.1.1551	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria;p__Tenericutes;c__Mollicutes;o__MollicutesRF39;f__Unculturedrumenbacterium;g__Unculturedrumenbacterium;s__Unculturedrumenbacterium
Unculturedbacterium;AY858424.1.1561	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__RuminococcaceaeUCG-014;s__Unculturedbacterium
